room_id,survey_id,host_id,room_type,country,city,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,last_modified,latitude,longitude,location
16099188,1526,7405954,Entire home/apt,,Vienna,04,0401,0,0.0,6,2.0,,156.0,,2017-07-25 10:52:36.381607,48.197872,16.36452,0101000020E6100000E8BCC62E515D3040A565A4DE53194840
17793683,1526,113788610,Entire home/apt,,Vienna,17,1703,0,0.0,5,2.0,,109.0,,2017-07-25 10:50:22.979412,48.221986,16.320332,0101000020E6100000BEDC274701523040BE1589096A1C4840
18987644,1526,132456289,Entire home/apt,,Vienna,01,0102,0,0.0,8,3.0,,228.0,,2017-07-25 10:48:58.534804,48.207499,16.378691,0101000020E61000001F4AB4E4F1603040F279C5538F1A4840
15798085,1526,68625135,Entire home/apt,,Vienna,07,0704,0,0.0,5,2.0,,216.0,,2017-07-25 10:33:13.167574,48.202703,16.340221,0101000020E6100000946934B9185730408AE6012CF2194840
8024104,1526,1446342,Entire home/apt,,Vienna,01,0101,65,4.5,8,3.0,,286.0,,2017-07-25 10:32:57.773745,48.204077,16.37264,0101000020E6100000732EC555655F3040D26EF4311F1A4840
14174796,1526,8632750,Entire home/apt,,Vienna,05,0504,7,4.5,6,3.0,,288.0,,2017-07-25 10:32:55.122692,48.190098,16.353667,0101000020E6100000A8ACA6EB895A30407B849A2155184840
7798619,1526,30229964,Entire home/apt,,Vienna,01,0105,4,4.5,4,1.0,,252.0,,2017-07-25 10:32:51.964684,48.214059,16.373339,0101000020E610000044520B25935F30400D350A49661B4840
9145712,1526,1435507,Entire home/apt,,Vienna,08,0801,16,5.0,6,2.0,,204.0,,2017-07-25 10:32:42.521133,48.212221,16.349108,0101000020E6100000A0C552245F5930402043C70E2A1B4840
17913826,1526,122798614,Entire home/apt,,Vienna,01,0106,0,0.0,5,1.0,,192.0,,2017-07-25 10:32:42.516127,48.210648,16.368245,0101000020E610000060EAE74D455E3040E17B7F83F61A4840
13030291,1526,71074913,Entire home/apt,,Vienna,01,0101,8,4.5,6,3.0,,199.0,,2017-07-25 10:32:42.500651,48.208687,16.374903,0101000020E61000001B2C9CA4F95F3040D80C7041B61A4840
789385,1526,909601,Entire home/apt,,Vienna,20,2005,40,5.0,6,2.0,,186.0,,2017-07-25 10:32:39.962275,48.229814,16.368079,0101000020E61000002A58E36C3A5E3040DB148F8B6A1D4840
3190682,1526,15839657,Entire home/apt,,Vienna,03,0305,1,0.0,6,2.0,,175.0,,2017-07-25 10:31:28.630867,48.19651,16.393142,0101000020E61000001DAF40F4A464304022AB5B3D27194840
7151375,1526,959758,Entire home/apt,,Vienna,22,2228,3,4.5,6,2.0,,69.0,,2017-07-25 10:05:43.918808,48.213177,16.513689,0101000020E6100000A0504F1F8183304034A14962491B4840
19884172,1526,20962897,Entire home/apt,,Vienna,06,0601,0,0.0,5,2.0,,76.0,,2017-07-25 10:02:14.857759,48.196063,16.353111,0101000020E61000009CDB847B655A3040537AA69718194840
7109018,1526,37242848,Entire home/apt,,Vienna,15,1506,3,3.5,4,2.0,,59.0,,2017-07-25 10:00:47.309960,48.197749,16.318002,0101000020E610000006103E94685130408AE8D7D64F194840
3362890,1526,5858468,Entire home/apt,,Vienna,06,0601,0,0.0,3,5.0,,900.0,,2017-07-25 09:57:37.626930,48.20149,16.360155,0101000020E6100000AA7D3A1E335C30404B3CA06CCA194840
1946728,1526,10068702,Entire home/apt,,Vienna,01,0101,15,4.5,6,3.0,,327.0,,2017-07-25 09:57:32.063893,48.208942,16.372879,0101000020E61000007D5D86FF745F30406361889CBE1A4840
1920647,1526,4331202,Entire home/apt,,Vienna,01,0103,13,5.0,6,2.0,,312.0,,2017-07-25 09:57:32.061710,48.204394,16.368846,0101000020E6100000AB4203B16C5E3040D3BF2495291A4840
18604856,1526,909601,Entire home/apt,,Vienna,02,0207,0,0.0,16,10.0,,354.0,,2017-07-25 09:57:30.731279,48.218762,16.408355,0101000020E610000078280AF489683040C4CDA964001C4840
17134451,1526,13951194,Entire home/apt,,Vienna,01,0107,1,0.0,8,3.0,,408.0,,2017-07-25 09:57:30.724511,48.208514,16.371199,0101000020E6100000D34ECDE5065F30400B613596B01A4840
17431852,1526,117753613,Entire home/apt,,Vienna,03,0301,0,0.0,6,3.0,,420.0,,2017-07-25 09:57:30.720596,48.20708,16.390867,0101000020E6100000EC1516DC0F643040EDD3F198811A4840
6803090,1526,32741209,Entire home/apt,,Vienna,01,0104,0,0.0,2,1.0,,336.0,,2017-07-25 09:57:30.718281,48.213943,16.357154,0101000020E6100000B6A2CD716E5B3040A41AF67B621B4840
847681,1526,4331202,Entire home/apt,,Vienna,01,0103,34,5.0,9,4.0,,468.0,,2017-07-25 09:57:30.713519,48.203862,16.370925,0101000020E6100000D044D8F0F45E3040D6726726181A4840
19766662,1526,4331202,Entire home/apt,,Vienna,01,0101,0,0.0,10,3.0,,420.0,,2017-07-25 09:57:30.700053,48.20455,16.371801,0101000020E6100000BF9EAF592E5F3040CA32C4B12E1A4840
